grupo,theta_i,p_valor,significativo_5pct,theta_usado_en_simulacion,w_actual_promedio,w_nuevo_promedio,delta_w_pp_promedio,gasto_actual_promedio_soles_mes,gasto_nuevo_promedio_soles_mes,delta_gasto_promedio_soles_mes,delta_gasto_total_muestra_soles_mes
comida_fuera_hogar,0.008544012492072801,0.011007953355083977,True,0.008544012492072801,0.05016232787499658,0.05075861954563301,0.059629167063642824,12.012696493234138,12.165365005243686,0.15266851200954884,126.25685943189688
pollo_piezas,0.005836925126044806,0.0019042425490456427,True,0.005836925126044806,0.04077996280151192,0.04118732524837378,0.040736244686185155,9.413542926239419,9.517839903161118,0.10429697692169722,86.2535999142436
frutos_secos_semillas,0.0003793968556463508,0.015106782578034883,True,0.0003793968556463508,0.0017188273119226475,0.0017453056422267604,0.0026478330304112885,0.5725513905683193,0.579330635503456,0.006779244935136796,5.606435561358131
aceites_grasas,-0.0026139479765805657,0.2991558105156229,False,0.0,0.042962078521539875,0.042962078521539875,0.0,10.292140266137082,10.292140266137082,0.0,0.0
azucar_dulces,0.0021799564899944463,0.37188182266202885,False,0.0,0.05843413957251408,0.05843413957251408,0.0,16.070979444406916,16.070979444406916,0.0,0.0
cafe_te_infusiones,-0.0027027506833565743,0.4286980202575861,False,0.0,0.02704730700750792,0.02704730700750792,0.0,6.02116082239324,6.02116082239324,0.0,0.0
bebidas_no_alcoholicas,0.004193144504608601,0.09974300363784194,False,0.0,0.030449688566210085,0.030449688566210085,0.0,5.421160821614848,5.421160821614848,0.0,0.0
carnes_rojas,0.005563152052656999,0.2991078393628541,False,0.0,0.12205796416728791,0.12205796416728791,0.0,30.818258766049773,30.818258766049773,0.0,0.0
bebidas_alcoholicas,-0.0008891714239779273,0.07895540521202515,False,0.0,0.00019250663323925737,0.00019250663323925737,0.0,0.06118500604594922,0.06118500604594922,0.0,0.0
frutas,0.005206112797124223,0.19639747008901054,False,0.0,0.08022636737846385,0.08022636737846385,0.0,17.704353083549414,17.704353083549414,0.0,0.0
lacteos_huevos,0.0031785247051972984,0.3155356787890695,False,0.0,0.06960031531075823,0.06960031531075823,0.0,18.03434099147801,18.03434099147801,0.0,0.0
menudencia_aves,-0.0005209421364188873,0.47893299471426154,False,0.0,0.00812513783482403,0.00812513783482403,0.0,1.827448609201046,1.827448609201046,0.0,0.0
menestras,-0.0025811628748842468,0.21964802857745225,False,0.0,0.03694682611118621,0.03694682611118621,0.0,9.355985489721887,9.355985489721887,0.0,0.0
pescados_mariscos,0.002327758462823941,0.5553492703331822,False,0.0,0.06257713295635092,0.06257713295635092,0.0,15.291656589854009,15.291656589854009,0.0,0.0
pasteleria_dulce,0.0018977309957397663,0.12359817907480464,False,0.0,0.006695549488397031,0.006695549488397031,0.0,2.0730350665054416,2.0730350665054416,0.0,0.0
verduras_hortalizas,-0.010811749440226448,,"(implicito, adding-up)",-0.010811749440226448,0.16329367202485232,0.16253911365521082,-0.07545583696415041,38.237122127575915,38.0439326044109,-0.19318952316501165,-159.76773565746464
pan_basico,-0.019186989946464582,0.0010789684335528182,True,-0.019186989946464582,0.19873019643843715,0.19739112509458354,-0.13390713438535823,53.17122128142411,52.828378945017576,-0.3428423364065418,-283.5306122082101
